Species	Status	min_age	max_age
Genetta_genetta	extant	0	0.0117
Civettictis_civetta	extant	0	0.0117
Acinonyx_jubatus	extant	0	0.0117
Caracal_serval	extant	0	0.0117
Genetta_tigrina	extant	0	0.0117
Mungos_mungo	extant	0	0.0117
Leopardus_pardalis	extant	0	0.0117
Leopardus_wiedii	extant	0	0.0117
Puma_yagouaroundi	extant	0	0.0117
Puma_concolor	extant	0	0.0117
Panthera_onca	extant	0	0.0117
Panthera_leo	extant	0	0.0117
Panthera_pardus	extant	0	0.0117
Felis_libyca	extant	0	0.0117
Ichneumia_albicauda	extant	0	0.0117
Genetta_genetta	extant	0	0.0117
Herpestes_sanguineus	extant	0	0.0117
Proteles	extant	0	0.0117
Parahyaena_brunnea	extant	0	0.0117
Cynictis_penicillata	extant	0	0.0117
Genetta_tigrina	extant	0	0.0117
Mungos_mungo	extant	0	0.0117
Atilax_paludinosus	extant	0	0.0117
Megantereon	extant	2.588	3.6
Homotherium	extinct	2.588	3.6
Herpestes	extant	2.588	3.6
Felis	extant	2.588	3.6
Crocuta	extant	2.588	3.6
Dinofelis	extinct	2.588	3.6
Megantereon	extant	2.588	3.6
Homotherium	extinct	2.588	3.6
Herpestes	extant	2.588	3.6
Panthera	extinct	2.588	3.6
Viverra	extant	2.588	3.6
Herpestes	extant	2.588	3.6
Felis	extant	2.588	3.6
Crocuta	extant	2.588	3.6
Dinofelis	extinct	2.588	3.6
Megantereon	extant	2.588	3.6
Homotherium	extinct	2.588	3.6
Pachycrocuta	extinct	2.588	3.6
Felis	extant	2.588	3.6
Dinofelis	extinct	2.588	3.6
Homotherium	extinct	2.588	3.6
Panthera_gombaszoegensis	extinct	2.588	3.6
Felis	extant	2.588	3.6
Felis	extant	2.588	3.6
Panthera	extinct	2.588	3.6
Felis	extant	2.588	3.6
Felis	extant	2.588	3.6
Panthera_gombaszoegensis	extinct	2.588	3.6
Crocuta	extant	2.588	3.6
Dinofelis	extinct	2.588	3.6
Panthera	extinct	2.588	3.6
Crocuta	extant	2.588	3.6
Crocuta	extant	2.588	3.6
Homotherium	extinct	2.588	3.6
Panthera	extinct	2.588	3.6
Crocuta	extant	2.588	3.6
Panthera_gombaszoegensis	extinct	2.588	3.6
Felis	extant	2.588	3.6
Felis	extant	1.806	2.588
Panthera	extinct	1.806	2.588
Crocuta	extant	1.806	2.588
Panthera_gombaszoegensis	extinct	2.588	3.6
Felis	extant	2.588	3.6
Felis	extant	2.588	3.6
Panthera_gombaszoegensis	extinct	2.588	3.6
Felis	extant	2.588	3.6
Felis	extant	2.588	3.6
Crocuta	extant	2.588	3.6
Homotherium	extinct	2.588	3.6
Felis	extant	2.588	3.6
Homotherium	extinct	2.588	3.6
Panthera_gombaszoegensis	extinct	2.588	3.6
Felis	extant	2.588	3.6
Crocuta	extant	2.588	3.6
Panthera_gombaszoegensis	extinct	2.588	3.6
Cynictis_penicillata	extant	0.0117	2.588
Crocuta	extant	2.588	5.333
Homotherium	extinct	2.588	5.333
Panthera	extinct	2.588	5.333
Panthera_gombaszoegensis	extinct	2.588	5.333
Felis	extant	2.588	5.333
Homotherium	extinct	2.588	3.6
Panthera	extinct	2.588	3.6
Felis	extant	2.588	3.6
Crocuta	extant	2.588	3.6
Africanictis_meini	extinct	11.608	23.03
Diamantofelis_ferox	extinct	11.608	23.03
Diamantofelis_minor	extinct	11.608	23.03
